SL,MODEL,CPU,RAM,HDD,DRIVES,SCREEN,VGA,FP,OS,PRICE
1,ACER ASPIRE -A515 . 018 SILVER,CORE i7 8565U 1.8,12GB,1TB+256S,,15.6 FHD,2GB NVIDIA,,Win 10,788
2,ACER SPIN3 SP314.007 SILVER,CORE i5 8265U 1.6,8GB,1TB+256S,,"14""FHD TOUCH N FLIP",2GB NVIDIA,,Win 10,774
3,ACER SPIN3 SP314.014 SILVER,CORE i7 8565U 1.8,16GB,1TB+256S,,"14""FHD TOUCH N FLIP",2GB NVIDIA,,Win 10,993
4,ACER SWIFT5 - SF514.009 BLUE,CORE i7 8565U 1.8,16GB,512SSD,,"14""FHD TOUCH",INTEL HD,FP,WIN 10 PRO,1233
5,ACER SWIFT5 - SF514.017 GRAY,CORE i7 8565U 1.8,16GB,512SSD,,"14""FHD TOUCH",INTEL HD,FP,WIN 10 PRO,1233
6,ACER PREDATOR HELIOS PH317.001,CORE i7 9750 H – 2.6 GHZ,16GB,1TB+256S,,17.3 FHD IPS144HZ,6GB GTX1660TI,,Win10,1575
7,ASUS X409FA-EV067T-GREY,CORE i3 8145U 2.1,4GB,1TB,,"14.0""FHD",INTEL HD,,Win 10,425
8,ASUS TP412UA-EC117TS-GREY,CORE i3 8145U 2.1,4GB,128SSD,,"14.0"" FHD TOUCH N FLIP",INTEL HD,,Win 10,582
9,ASUS S410UF- BV104T - GOLD,CORE i5 8250U 1.6,6GB,1TB,,"14.0"" LED",2GB NVIDIA,,Win10,610
10,ASUS X540UB -DM658T SILVER,CORE i5 8250U 1.6,8GB,1TB,DVD±RW,"15.6"" FHD",2GB NVIDIA,,Win10,616
11,ASUS X540UP-DM235T GREY,CORE i7 8550U 1.8,8GB,1TB,DVD±RW,15.6 FHD,2GB RADEON,,Win10,705
12,ASUS A412UF-EK049T SILVER,CORE i5 8250U 1.6,8GB,1TB+128S,,"14.0"" FHD",2GB NVIDIA,,Win10,788
13,ASUS TP410UF-EC065T GREY,CORE i5 8250U 1.6,8GB,1TB+256S,,"14.0"" FHD TOUCH N FLIP",2GB NVIDIA,,Win10,829
14,ASUS A412UF-EK053T SILVER,CORE i7 8550U 1.8,8GB,1TB+128S,,"14.0"" FHD",2GB NVIDIA,,Win10,911
15,ASUS S431FL-AM002T GUNMETAL,CORE i7 8565U 1.8,16GB,512SSD,,"14""FHD",2GB NVIDIA,,Win10,1089
16,ASUS S431FL-AM007T SILVER,CORE i7 8565U 1.8,16GB,512SSD,,"14""FHD",2GB NVIDIA,,Win10,1089
17,ASUS S431FL-AM008T PINK,CORE i7 8565U 1.8,16GB,512SSD,,"14""FHD",2GB NVIDIA,,Win10,1089
18,ASUS ZENBOOK UX333FN-A4171TS RED,CORE i7 8565U 1.8,16GB,512SSD,,"13.3""FHD",2GB NVIDIA,,Win10,1212
